# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
02871439,c007d1b4972f70102751be1fc72418bb,5.56481,2.52943,1.07633,0.685906,0.678903,0.18456,0.185908,2.30916,2.35292,2.22698
04379243,e563bbcb07d70dcc3321831d2245cf06,3.22876,1.53228,0.497392,0.666009,0.723583,0.12738,0.128973,0.940817,1.11417,1.01502
03001627,5d60590d192c52553a23b8cb1a985a11,2.70075,3.12423,0.384609,0.684953,0.703608,0.128931,0.13839,1.37716,1.30716,1.48915
04256520,41b02faaceadb39560fcec8f64d76ffb,0.967841,1.50266,0.561221,0.5898,0.615279,-0.365092,-0.374532,2.71341,2.7936,2.83211
04379243,bc842e548e68a3cbb48513409ae7c51d,2.62414,3.65152,0.536493,-0.169777,-0.196872,0.651463,0.712751,2.34593,1.34049,2.18989
04379243,bc842e548e68a3cbb48513409ae7c51d,4.17598,4.37553,0.531855,-0.127397,-0.15651,0.66914,0.71521,2.29769,1.29911,2.08809
03001627,d619fd50c4d0fb46dea83bbf303af433,4.43648,3.75853,0.458704,0.51723,0.563317,0.474764,0.435598,1.4161,1.41656,1.47752
03211117,d0959256c79f60872a9c9a7e9520eea,4.00067,4.38341,1.01966,-0.192201,-0.172853,0.737967,0.623366,0.830822,0.736121,0.829072
03211117,d0959256c79f60872a9c9a7e9520eea,2.42179,3.68669,1.04231,-0.0378817,-0.172696,0.723618,0.667171,0.84072,0.73964,1.46192
02773838,54cd45b275f551b276bb31db0358e9c6,4.51396,1.99386,0.489485,0.701423,0.661305,0.221795,0.146588,0.952523,1.36804,0.906429
03211117,d0959256c79f60872a9c9a7e9520eea,3.20419,1.48977,1.06922,0.638466,0.743971,0.0303716,0.194796,0.622352,0.663037,0.848977
03211117,d0959256c79f60872a9c9a7e9520eea,4.50137,4.59491,1.00286,0.7178,0.690383,0.0548647,0.071586,0.785717,0.738677,0.942734
03001627,5d60590d192c52553a23b8cb1a985a11,2.33469,2.48016,0.336771,0.218416,-0.0287601,0.410461,0.884867,15.3066,4.52097,12.8828
03001627,5d60590d192c52553a23b8cb1a985a11,1.10535,3.21975,0.343552,0.381473,0.256366,0.303744,0.834562,21.7332,5.31953,14.3059
